"annotation_id","annotator","created_at","id","img","kp-1","lead_time","pitch","updated_at"
8480,"5","2025-01-15T12:05:09.958707Z",20220,"https://fieldvision.forzify.com/labelstudio/data/local-files/?d=label-studio/data/y/1752_abu41w8te4nzl_105x65_frame_38.png","[{""x"":59.287499999999994,""y"":36.6,""width"":0.22499999999999998,""keypointlabels"":[""25""],""original_width"":1280,""original_height"":720},{""x"":73.34999999999998,""y"":42.800000000000004,""width"":0.22499999999999998,""keypointlabels"":[""26""],""original_width"":1280,""original_height"":720},{""x"":97.3125,""y"":54.2,""width"":0.22499999999999998,""keypointlabels"":[""27""],""original_width"":1280,""original_height"":720},{""x"":77.9625,""y"":29.4,""width"":0.22499999999999998,""keypointlabels"":[""32""],""original_width"":1280,""original_height"":720},{""x"":93.0375,""y"":33.4,""width"":0.22499999999999998,""keypointlabels"":[""33""],""original_width"":1280,""original_height"":720},{""x"":98.2125,""y"":39.4,""width"":0.22499999999999998,""keypointlabels"":[""30""],""original_width"":1280,""original_height"":720},{""x"":74.25,""y"":48.8,""width"":0.22499999999999998,""keypointlabels"":[""24""],""original_width"":1280,""original_height"":720}]",361.071,"[{""x"":0.11249999999999995,""y"":28.799999999999997,""width"":99.67500000000001,""height"":70.80049937578026,""rotation"":0,""rectanglelabels"":[""football pitch""],""original_width"":1280,""original_height"":720}]","2025-01-22T10:03:42.542073Z"
8481,"5","2025-01-15T12:06:48.033259Z",20221,"https://fieldvision.forzify.com/labelstudio/data/local-files/?d=label-studio/data/y/1752_abu41w8te4nzl_105x65_frame_39.png","[{""x"":58.275,""y"":36.6,""width"":0.22499999999999998,""keypointlabels"":[""25""],""original_width"":1280,""original_height"":720},{""x"":72.3375,""y"":43,""width"":0.22499999999999998,""keypointlabels"":[""26""],""original_width"":1280,""original_height"":720},{""x"":96.18749999999999,""y"":54.2,""width"":0.22499999999999998,""keypointlabels"":[""27""],""original_width"":1280,""original_height"":720},{""x"":76.8375,""y"":29.2,""width"":0.22499999999999998,""keypointlabels"":[""32""],""original_width"":1280,""original_height"":720},{""x"":92.13749999999999,""y"":33.4,""width"":0.22499999999999998,""keypointlabels"":[""33""],""original_width"":1280,""original_height"":720},{""x"":97.2,""y"":39.2,""width"":0.22499999999999998,""keypointlabels"":[""30""],""original_width"":1280,""original_height"":720},{""x"":73.0125,""y"":48.800000000000004,""width"":0.22499999999999998,""keypointlabels"":[""24""],""original_width"":1280,""original_height"":720}]",146.19299999999998,"[{""x"":0,""y"":27.166042446941326,""width"":99.43820224719101,""height"":69.19350689567727,""rotation"":0,""rectanglelabels"":[""football pitch""],""original_width"":1280,""original_height"":720}]","2025-01-15T12:26:27.980530Z"
8482,"5","2025-01-15T12:08:01.766580Z",20222,"https://fieldvision.forzify.com/labelstudio/data/local-files/?d=label-studio/data/y/1752_abu41w8te4nzl_105x65_frame_40.png","[{""x"":57.375,""y"":36.8,""width"":0.22499999999999998,""keypointlabels"":[""25""],""original_width"":1280,""original_height"":720},{""x"":71.4375,""y"":43.00000000000001,""width"":0.22499999999999998,""keypointlabels"":[""26""],""original_width"":1280,""original_height"":720},{""x"":95.28750000000001,""y"":54.400000000000006,""width"":0.22499999999999998,""keypointlabels"":[""27""],""original_width"":1280,""original_height"":720},{""x"":75.9375,""y"":29.2,""width"":0.22499999999999998,""keypointlabels"":[""32""],""original_width"":1280,""original_height"":720},{""x"":91.2375,""y"":33.4,""width"":0.22499999999999998,""keypointlabels"":[""33""],""original_width"":1280,""original_height"":720},{""x"":96.3,""y"":39.4,""width"":0.22499999999999998,""keypointlabels"":[""30""],""original_width"":1280,""original_height"":720},{""x"":71.775,""y"":48.8,""width"":0.22499999999999998,""keypointlabels"":[""24""],""original_width"":1280,""original_height"":720}]",86.277,"[{""x"":0.5617977528089888,""y"":27.56554307116105,""width"":98.87640449438203,""height"":72.43445692883896,""rotation"":0,""rectanglelabels"":[""football pitch""],""original_width"":1280,""original_height"":720}]","2025-01-15T12:26:49.200250Z"
8483,"5","2025-01-15T12:09:35.725243Z",20223,"https://fieldvision.forzify.com/labelstudio/data/local-files/?d=label-studio/data/y/1752_abu41w8te4nzl_105x65_frame_41.png","[{""x"":56.25,""y"":36.8,""width"":0.22499999999999998,""keypointlabels"":[""25""],""original_width"":1280,""original_height"":720},{""x"":70.5375,""y"":43,""width"":0.22499999999999998,""keypointlabels"":[""26""],""original_width"":1280,""original_height"":720},{""x"":94.3875,""y"":54.400000000000006,""width"":0.22499999999999998,""keypointlabels"":[""27""],""original_width"":1280,""original_height"":720},{""x"":70.425,""y"":48.6,""width"":0.22499999999999998,""keypointlabels"":[""24""],""original_width"":1280,""original_height"":720},{""x"":95.28750000000001,""y"":39.6,""width"":0.22499999999999998,""keypointlabels"":[""30""],""original_width"":1280,""original_height"":720},{""x"":90.225,""y"":33.4,""width"":0.22499999999999998,""keypointlabels"":[""33""],""original_width"":1280,""original_height"":720},{""x"":74.925,""y"":29.2,""width"":0.22499999999999998,""keypointlabels"":[""32""],""original_width"":1280,""original_height"":720}]",117.89699999999999,"[{""x"":0.11235955056179776,""y"":27.56554307116105,""width"":99.5505617977528,""height"":72.43445692883896,""rotation"":0,""rectanglelabels"":[""football pitch""],""original_width"":1280,""original_height"":720}]","2025-01-15T12:27:18.811959Z"
8484,"5","2025-01-15T12:11:09.861964Z",20224,"https://fieldvision.forzify.com/labelstudio/data/local-files/?d=label-studio/data/y/1752_abu41w8te4nzl_105x65_frame_42.png","[{""x"":55.35000000000001,""y"":36.6,""width"":0.22499999999999998,""keypointlabels"":[""25""],""original_width"":1280,""original_height"":720},{""x"":69.6375,""y"":43,""width"":0.22499999999999998,""keypointlabels"":[""26""],""original_width"":1280,""original_height"":720},{""x"":93.4875,""y"":54.400000000000006,""width"":0.22499999999999998,""keypointlabels"":[""27""],""original_width"":1280,""original_height"":720},{""x"":69.525,""y"":48.6,""width"":0.22499999999999998,""keypointlabels"":[""24""],""original_width"":1280,""original_height"":720},{""x"":74.02499999999999,""y"":29.2,""width"":0.22499999999999998,""keypointlabels"":[""32""],""original_width"":1280,""original_height"":720},{""x"":89.32499999999999,""y"":33.4,""width"":0.22499999999999998,""keypointlabels"":[""33""],""original_width"":1280,""original_height"":720},{""x"":94.5,""y"":39.4,""width"":0.22499999999999998,""keypointlabels"":[""30""],""original_width"":1280,""original_height"":720}]",110.135,"[{""x"":0.44943820224719105,""y"":27.166042446941326,""width"":98.87640449438203,""height"":72.50936329588015,""rotation"":0,""rectanglelabels"":[""football pitch""],""original_width"":1280,""original_height"":720}]","2025-01-15T12:27:40.773837Z"
8485,"5","2025-01-15T12:12:28.113002Z",20225,"https://fieldvision.forzify.com/labelstudio/data/local-files/?d=label-studio/data/y/1752_abu41w8te4nzl_105x65_frame_43.png","[{""x"":54.33749999999999,""y"":36.6,""width"":0.22499999999999998,""keypointlabels"":[""25""],""original_width"":1280,""original_height"":720},{""x"":68.625,""y"":43,""width"":0.22499999999999998,""keypointlabels"":[""26""],""original_width"":1280,""original_height"":720},{""x"":92.475,""y"":54.2,""width"":0.22499999999999998,""keypointlabels"":[""27""],""original_width"":1280,""original_height"":720},{""x"":69.41250000000001,""y"":49,""width"":0.22499999999999998,""keypointlabels"":[""24""],""original_width"":1280,""original_height"":720},{""x"":73.125,""y"":28.999999999999996,""width"":0.22499999999999998,""keypointlabels"":[""32""],""original_width"":1280,""original_height"":720},{""x"":88.3125,""y"":33.2,""width"":0.22499999999999998,""keypointlabels"":[""33""],""original_width"":1280,""original_height"":720},{""x"":93.4875,""y"":39.2,""width"":0.22499999999999998,""keypointlabels"":[""30""],""original_width"":1280,""original_height"":720}]",89.89200000000001,"[{""x"":0.33707865168539325,""y"":27.36579275905119,""width"":98.87640449438203,""height"":72.50936329588015,""rotation"":0,""rectanglelabels"":[""football pitch""],""original_width"":1280,""original_height"":720}]","2025-01-15T12:28:05.488500Z"
8486,"5","2025-01-15T12:13:59.508826Z",20226,"https://fieldvision.forzify.com/labelstudio/data/local-files/?d=label-studio/data/y/1752_abu41w8te4nzl_105x65_frame_44.png","[{""x"":53.325,""y"":36.6,""width"":0.22499999999999998,""keypointlabels"":[""25""],""original_width"":1280,""original_height"":720},{""x"":67.6125,""y"":42.8,""width"":0.22499999999999998,""keypointlabels"":[""26""],""original_width"":1280,""original_height"":720},{""x"":91.6875,""y"":54.2,""width"":0.22499999999999998,""keypointlabels"":[""27""],""original_width"":1280,""original_height"":720},{""x"":68.175,""y"":48.8,""width"":0.22499999999999998,""keypointlabels"":[""24""],""original_width"":1280,""original_height"":720},{""x"":72.225,""y"":28.999999999999996,""width"":0.22499999999999998,""keypointlabels"":[""32""],""original_width"":1280,""original_height"":720},{""x"":87.3,""y"":33,""width"":0.22499999999999998,""keypointlabels"":[""33""],""original_width"":1280,""original_height"":720},{""x"":92.5875,""y"":39.2,""width"":0.22499999999999998,""keypointlabels"":[""30""],""original_width"":1280,""original_height"":720}]",90.962,"[{""x"":0.33707865168539325,""y"":27.166042446941326,""width"":98.87640449438203,""height"":72.50936329588015,""rotation"":0,""rectanglelabels"":[""football pitch""],""original_width"":1280,""original_height"":720}]","2025-01-15T12:28:21.852804Z"
8487,"5","2025-01-15T12:15:47.450939Z",20227,"https://fieldvision.forzify.com/labelstudio/data/local-files/?d=label-studio/data/y/1752_abu41w8te4nzl_105x65_frame_45.png","[{""x"":52.425,""y"":36.6,""width"":0.22499999999999998,""keypointlabels"":[""25""],""original_width"":1280,""original_height"":720},{""x"":66.825,""y"":43,""width"":0.22499999999999998,""keypointlabels"":[""26""],""original_width"":1280,""original_height"":720},{""x"":90.675,""y"":54.2,""width"":0.22499999999999998,""keypointlabels"":[""27""],""original_width"":1280,""original_height"":720},{""x"":67.16250000000001,""y"":48.8,""width"":0.22499999999999998,""keypointlabels"":[""24""],""original_width"":1280,""original_height"":720},{""x"":71.32499999999999,""y"":28.999999999999996,""width"":0.22499999999999998,""keypointlabels"":[""32""],""original_width"":1280,""original_height"":720},{""x"":86.51249999999999,""y"":33.2,""width"":0.22499999999999998,""keypointlabels"":[""33""],""original_width"":1280,""original_height"":720},{""x"":91.8,""y"":39.2,""width"":0.22499999999999998,""keypointlabels"":[""30""],""original_width"":1280,""original_height"":720}]",116.023,"[{""x"":0.33707865168539325,""y"":27.36579275905119,""width"":98.98876404494384,""height"":72.3096129837703,""rotation"":0,""rectanglelabels"":[""football pitch""],""original_width"":1280,""original_height"":720}]","2025-01-15T12:28:35.343771Z"
8488,"5","2025-01-15T12:17:20.818209Z",20228,"https://fieldvision.forzify.com/labelstudio/data/local-files/?d=label-studio/data/y/1752_abu41w8te4nzl_105x65_frame_46.png","[{""x"":51.6375,""y"":36.599999999999994,""width"":0.22499999999999998,""keypointlabels"":[""25""],""original_width"":1280,""original_height"":720},{""x"":66.0375,""y"":43,""width"":0.22499999999999998,""keypointlabels"":[""26""],""original_width"":1280,""original_height"":720},{""x"":90,""y"":54.400000000000006,""width"":0.22499999999999998,""keypointlabels"":[""27""],""original_width"":1280,""original_height"":720},{""x"":70.65,""y"":28.799999999999997,""width"":0.22499999999999998,""keypointlabels"":[""32""],""original_width"":1280,""original_height"":720},{""x"":85.94999999999999,""y"":33,""width"":0.22499999999999998,""keypointlabels"":[""33""],""original_width"":1280,""original_height"":720},{""x"":91.2375,""y"":39.2,""width"":0.22499999999999998,""keypointlabels"":[""30""],""original_width"":1280,""original_height"":720},{""x"":65.7,""y"":48.4,""width"":0.22499999999999998,""keypointlabels"":[""24""],""original_width"":1280,""original_height"":720}]",100.247,"[{""x"":0.5617977528089888,""y"":28.164794007490634,""width"":98.53932584269663,""height"":71.51061173533085,""rotation"":0,""rectanglelabels"":[""football pitch""],""original_width"":1280,""original_height"":720}]","2025-01-15T12:28:50.328839Z"
8489,"5","2025-01-15T12:18:59.237870Z",20229,"https://fieldvision.forzify.com/labelstudio/data/local-files/?d=label-studio/data/y/1752_abu41w8te4nzl_105x65_frame_47.png","[{""x"":50.849999999999994,""y"":36.599999999999994,""width"":0.22499999999999998,""keypointlabels"":[""25""],""original_width"":1280,""original_height"":720},{""x"":65.3625,""y"":43,""width"":0.22499999999999998,""keypointlabels"":[""26""],""original_width"":1280,""original_height"":720},{""x"":89.43749999999999,""y"":54.400000000000006,""width"":0.22499999999999998,""keypointlabels"":[""27""],""original_width"":1280,""original_height"":720},{""x"":65.7,""y"":48.8,""width"":0.22499999999999998,""keypointlabels"":[""24""],""original_width"":1280,""original_height"":720},{""x"":69.975,""y"":28.799999999999997,""width"":0.22499999999999998,""keypointlabels"":[""32""],""original_width"":1280,""original_height"":720},{""x"":85.275,""y"":33.00000000000001,""width"":0.22499999999999998,""keypointlabels"":[""33""],""original_width"":1280,""original_height"":720},{""x"":90.5625,""y"":39,""width"":0.22499999999999998,""keypointlabels"":[""30""],""original_width"":1280,""original_height"":720}]",108.043,"[{""x"":0.33707865168539325,""y"":27.76529338327091,""width"":98.53932584269663,""height"":71.51061173533083,""rotation"":0,""rectanglelabels"":[""football pitch""],""original_width"":1280,""original_height"":720}]","2025-01-15T12:29:07.238874Z"
