epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.213,2.36975,14.7898,0,5.09117,2.76828,0.02861,1,0.04571,0.02286,0.00133,0.07143,0.00071,0.00021,4.24453,14.7946,0,inf,35.053,0.00044,0.00044,0.00044
2,30.5276,1.71724,14.6496,0,1.25418,2.01305,0.04142,0.6,0.03668,0.01013,0,0,0,0,nan,nan,0,nan,nan,0.000898218,0.000898218,0.000898218
3,43.5371,1.30533,14.4309,0,0.83879,1.67341,0.04142,0.6,0.03668,0.01013,0,0,0,0,nan,nan,0,nan,nan,0.00135461,0.00135461,0.00135461
4,55.5085,1.34916,13.9516,0,0.882,1.67458,0.13454,0.95714,0.17312,0.05309,0,0,0,0,5.27361,14.9775,0,186.782,78.4574,0.00180919,0.00180919,0.00180919
5,72.3613,1.37244,13.891,0,0.82111,1.70479,0.07423,1,0.10475,0.04592,0,0,0,0,5.1618,14.9982,0,384.314,114.455,0.00198416,0.00198416,0.00198416
6,84.2185,1.28214,13.7676,0,0.79784,1.62463,0.08293,0.98571,0.1084,0.06427,0.07572,0.9,0.08224,0.01546,4.97184,14.9987,0,244.844,142.832,0.0019802,0.0019802,0.0019802
7,101.624,1.18688,12.9807,0,0.72877,1.56828,0.81159,0.88571,0.89788,0.4367,0.57727,0.67143,0.59325,0.14259,5.04748,14.6078,0,2.89232,13.4215,0.00197624,0.00197624,0.00197624
8,115.977,1.18497,12.323,0,0.70734,1.56895,0.71829,0.6,0.59754,0.25626,0.02085,0.04286,0.00204,0.00035,4.75435,14.2881,0,6.58468,9.27154,0.00197228,0.00197228,0.00197228
9,128.296,1.17131,12.5721,0,0.71608,1.55897,0.0981,0.17143,0.07166,0.01231,0.09219,0.11429,0.0171,0.00324,5.09241,13.7689,0,3.23998,10.5335,0.00196832,0.00196832,0.00196832
10,142.006,1.07266,11.6897,0,0.68387,1.47389,0.87332,0.78793,0.81645,0.36252,0,0,0,0,4.84078,14.5708,0,2.40739,7.71724,0.00196436,0.00196436,0.00196436
11,153.673,1.02169,11.7886,0,0.67099,1.45296,0.80632,0.78571,0.89791,0.51376,0,0,0,0,4.70782,14.5305,0,3.45455,7.79572,0.0019604,0.0019604,0.0019604
12,164.967,0.9669,11.1357,0,0.62508,1.40857,0.98453,0.94286,0.99116,0.62026,0.73067,0.7,0.64425,0.18874,4.70881,11.1553,0,3.10937,7.75399,0.00195644,0.00195644,0.00195644
13,179.695,0.93098,10.8677,0,0.6357,1.39242,0.81565,1,0.94806,0.62875,0.33413,0.54286,0.2331,0.05232,4.55926,9.37867,0,2.72721,7.88971,0.00195248,0.00195248,0.00195248
14,192.819,1.00015,10.5927,0,0.58825,1.40189,0.95748,0.96511,0.99028,0.5887,0.5618,0.37143,0.36986,0.10084,5.01816,9.71272,0,2.41614,9.72568,0.00194852,0.00194852,0.00194852
15,204.544,0.9302,10.644,0,0.57707,1.37293,0.95002,1,0.99038,0.71157,0.78418,0.82857,0.79022,0.26633,4.52795,10.2281,0,2.70124,8.54815,0.00194456,0.00194456,0.00194456
16,218.961,0.9181,11.2125,0,0.56094,1.36812,0.99692,1,0.995,0.62555,0.1982,0.24286,0.09897,0.0268,4.74349,10.4132,0,2.67409,8.32424,0.0019406,0.0019406,0.0019406
17,232.08,0.86314,10.6617,0,0.57909,1.32576,0.99761,1,0.995,0.49818,0.01428,0.01429,0.00358,0.00072,5.1368,11.9334,0,2.32508,9.11435,0.00193664,0.00193664,0.00193664
18,243.219,0.89772,10.4214,0,0.57592,1.33229,0.99854,1,0.995,0.57338,0,0,0,0,4.82625,14.0107,0,2.00517,8.68161,0.00193268,0.00193268,0.00193268
19,254.656,0.88154,10.5615,0,0.56963,1.32475,0.99895,1,0.995,0.75766,0,0,0,0,4.54445,11.8359,0,2.28961,8.39262,0.00192872,0.00192872,0.00192872
20,267.289,0.78527,9.76882,0,0.51913,1.27536,0.99734,1,0.995,0.77423,0.21094,0.14286,0.09894,0.01951,4.56681,9.76706,0,1.7771,7.94789,0.00192476,0.00192476,0.00192476
21,278.939,0.84639,10.2088,0,0.5502,1.29585,0.99898,1,0.995,0.76732,0.65805,0.48571,0.49434,0.13567,4.56391,6.76201,0,1.63453,7.98031,0.0019208,0.0019208,0.0019208
22,292.328,0.79066,10.224,0,0.52081,1.25921,0.99888,1,0.995,0.82038,0,0,0,0,4.5654,7.38493,0,1.7407,7.53148,0.00191684,0.00191684,0.00191684
23,306.336,0.87137,10.7248,0,0.5316,1.31068,0.99829,1,0.995,0.74974,0,0,0,0,4.55874,9.12619,0,1.86864,8.24576,0.00191288,0.00191288,0.00191288
24,317.684,0.79732,10.3439,0,0.50607,1.2661,0.99887,1,0.995,0.84835,0.21112,0.17143,0.0773,0.0167,4.50955,7.17958,0,1.86663,8.11692,0.00190892,0.00190892,0.00190892
25,331.501,0.75687,9.08749,0,0.48647,1.23665,0.99909,1,0.995,0.78958,0,0,0,0,4.58601,7.40552,0,2.08418,8.30251,0.00190496,0.00190496,0.00190496
26,343.841,0.78103,10.0151,0,0.4927,1.26766,0.99874,1,0.995,0.76188,0,0,0,0,4.40844,6.53503,0,1.45927,7.16843,0.001901,0.001901,0.001901
27,355.736,0.76451,10.0553,0,0.50063,1.23835,0.99898,1,0.995,0.8501,0.87054,0.87143,0.88613,0.33904,4.38041,5.91944,0,2.08548,7.34903,0.00189704,0.00189704,0.00189704
28,370.02,0.79785,10.0877,0,0.52186,1.26135,0.99155,1,0.995,0.88345,0.04074,0.02857,0.02113,0.00549,4.39115,6.50662,0,1.78932,7.65405,0.00189308,0.00189308,0.00189308
